run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,None,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,0.5,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,None,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,0.8019703010984373,0.7257967418295432,0.7760920510456812,0.7380804486759517,0.07448909652425235,25,,0.0,0.0,foolsgold,label_flip,0.2,0.5,0.025878250052756013
foolsgold__atk=label_flip__mal=0.2__alpha=None,0.8243277763586081,0.7727582725108202,0.6880643513222342,0.6843128561554248,0.11043745241718068,25,,0.0,0.0,foolsgold,label_flip,0.2,None,0.1362634250363739
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,0.15701322789519864,0.05186788209465067,0.3861870675389007,0.3303260284063946,0.22985092017853606,25,,0.0,0.0,foolsgold,label_flip,0.4,0.5,0.22917383964370205
foolsgold__atk=label_flip__mal=0.4__alpha=None,0.4425513955373902,0.47207847086574484,0.6006627830780679,0.5818250522912993,0.2000159162457239,25,,0.0,0.0,foolsgold,label_flip,0.4,None,0.15811138754067766
krum__atk=alie__mal=0.2__alpha=0.5,0.5987871652764974,0.629537380193819,0.6884461388096005,0.67028299089119,0.10429215507878314,25,,0.0,0.0,krum,alie,0.2,0.5,0.08965897353310304
krum__atk=alie__mal=0.2__alpha=None,0.8216733120828104,0.7640205964359743,0.8206820529337938,0.7686845335559004,0.0087943619135783,25,,0.0,0.0,krum,alie,0.2,None,0.0009912591490165434
krum__atk=alie__mal=0.4__alpha=0.5,0.7227139953574642,0.6063868065077953,0.4183807767917634,0.31731054226550054,0.3070866728842981,25,,0.0,0.0,krum,alie,0.4,0.5,0.3043332185657008
krum__atk=alie__mal=0.4__alpha=None,0.010573430922842832,0.003354449550394338,0.43977198262936346,0.4113197546111225,0.37850415983488794,25,,0.0,0.0,krum,alie,0.4,None,0.4291985517065206
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,0.7072758976865067,0.7286811659917578,0.6842867376745116,0.6776964901102538,0.09981829419359327,25,,0.0,0.0,krum,gaussian_noise,0.2,0.5,0.022989160011995025
krum__atk=gaussian_noise__mal=0.2__alpha=None,0.8222286393371614,0.7680445122378874,0.8196602507857881,0.7674866436848805,0.007655708879875491,25,,0.0,0.0,krum,gaussian_noise,0.2,None,0.002568388551373313
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,0.595155325033042,0.6207613108707333,0.7092709108477626,0.6943660925400101,0.09381929486075255,25,,0.0,0.0,krum,gaussian_noise,0.4,0.5,0.11411558581472059
krum__atk=gaussian_noise__mal=0.4__alpha=None,0.822617368415207,0.7778934789269089,0.768638170974155,0.7338177348793052,0.071983922024595,25,,0.0,0.0,krum,gaussian_noise,0.4,None,0.05397919744105206
krum__atk=label_flip__mal=0.2__alpha=0.5,0.6937703388606906,0.7139475317734683,0.5386007974499373,0.5157730291075098,0.2696144340395696,25,,0.0,0.0,krum,label_flip,0.2,0.5,0.15516954141075334
krum__atk=label_flip__mal=0.2__alpha=None,0.7246909603829537,0.7445847633321626,0.5952608372113686,0.55297859887499,0.2972170084314614,25,,0.0,0.0,krum,label_flip,0.2,None,0.1294301231715851
krum__atk=label_flip__mal=0.4__alpha=0.5,0.7055877028332797,0.725847311495281,0.570452980441374,0.5535627494196301,0.19272700315413613,25,,0.0,0.0,krum,label_flip,0.4,0.5,0.1351347223919056
krum__atk=label_flip__mal=0.4__alpha=None,0.19335384341992737,0.08624847381654074,0.42094222375245727,0.37921132382952666,0.3066360637938129,25,,0.0,0.0,krum,label_flip,0.4,None,0.2275883803325299
