run_id,aggregator,attack_type,malicious_fraction,non_iid_alpha,final_accuracy,final_f1,wall_clock_seconds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate
fedavg__atk=label_flip__mal=0.2__alpha=None,fedavg,label_flip,0.2,,0.9454044230887698,0.938245669968081,312.1053581237793,,0.0,0.0
fedavg__atk=label_flip__mal=0.2__alpha=0.5,fedavg,label_flip,0.2,0.5,0.7589940245179573,0.7256427865788411,315.8925483226776,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=None,fedavg,label_flip,0.4,,0.7445481426723342,0.7834923603027796,319.434294462204,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=0.5,fedavg,label_flip,0.4,0.5,0.8307460112117292,0.7551267566800035,319.2459497451782,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,fedavg,gaussian_noise,0.2,,0.8306998090309863,0.7538780190176303,184.06136775016785,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,fedavg,gaussian_noise,0.2,0.5,0.8306998090309863,0.7538780190176303,276.8616347312927,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,fedavg,gaussian_noise,0.4,,0.8306998090309863,0.7538780190176303,206.47357082366943,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,fedavg,gaussian_noise,0.4,0.5,0.8306998090309863,0.7538780190176303,199.3848385810852,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=None,fedavg,alie,0.2,,0.8036253311156286,0.7918664291822015,320.9889781475067,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=0.5,fedavg,alie,0.2,0.5,0.8306228053964148,0.7562000675180761,337.9100122451782,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=None,fedavg,alie,0.4,,0.8306998090309863,0.7538780190176303,312.6275517940521,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=0.5,fedavg,alie,0.4,0.5,0.8306998090309863,0.7538780190176303,321.55133056640625,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=None,krum,label_flip,0.2,,0.9363795971169839,0.9336623152264838,321.0888159275055,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=0.5,krum,label_flip,0.2,0.5,0.7628288055196205,0.7766464473916049,654.7194771766663,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=None,krum,label_flip,0.4,,0.9135249183761474,0.9193926359398601,426.779869556427,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=0.5,krum,label_flip,0.4,0.5,0.05048358282510935,0.05793599635646331,442.42933535575867,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=None,krum,gaussian_noise,0.2,,0.9165126593975236,0.9247121209400342,663.877993106842,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,krum,gaussian_noise,0.2,0.5,0.885618801207417,0.8497635809959164,722.1033818721771,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=None,krum,gaussian_noise,0.4,,0.9396907534035607,0.9274332330847738,720.6703746318817,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,krum,gaussian_noise,0.4,0.5,0.8306536068502434,0.7677151676615425,665.9392557144165,,0.0,0.0
krum__atk=alie__mal=0.2__alpha=None,krum,alie,0.2,,0.967596870572291,0.9606574513335381,567.2730205059052,,0.0,0.0
krum__atk=alie__mal=0.2__alpha=0.5,krum,alie,0.2,0.5,0.8571428571428571,0.7968904294198347,565.1509957313538,,0.0,0.0
krum__atk=alie__mal=0.4__alpha=None,krum,alie,0.4,,0.8306998090309863,0.7538780190176303,476.14488768577576,,0.0,0.0
krum__atk=alie__mal=0.4__alpha=0.5,krum,alie,0.4,0.5,0.8306998090309863,0.7538780190176303,703.6243152618408,,0.0,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=None,foolsgold,label_flip,0.2,,0.39699993839709236,0.48972776825918063,524.4030628204346,,0.0,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,foolsgold,label_flip,0.2,0.5,0.6872266370972709,0.7142347195264136,611.6923151016235,,0.0,0.0
foolsgold__atk=label_flip__mal=0.4__alpha=None,foolsgold,label_flip,0.4,,0.7922441939259534,0.7783130499392674,564.3354105949402,,0.0,0.0
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,foolsgold,label_flip,0.4,0.5,0.09158812295940369,0.10127893828294178,331.06530356407166,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,foolsgold,gaussian_noise,0.2,,0.8306998090309863,0.7538780190176303,204.1508355140686,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,foolsgold,gaussian_noise,0.2,0.5,0.8306998090309863,0.7538780190176303,235.71764945983887,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,foolsgold,gaussian_noise,0.4,,0.8306998090309863,0.7538780190176303,201.44623374938965,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,foolsgold,gaussian_noise,0.4,0.5,0.8306998090309863,0.7538780190176303,212.10294151306152,,0.0,0.0
foolsgold__atk=alie__mal=0.2__alpha=None,foolsgold,alie,0.2,,0.8306998090309863,0.7538780190176303,335.35626101493835,,0.0,0.0
foolsgold__atk=alie__mal=0.2__alpha=0.5,foolsgold,alie,0.2,0.5,0.8306998090309863,0.7538780190176303,401.813271522522,,0.0,0.0
foolsgold__atk=alie__mal=0.4__alpha=None,foolsgold,alie,0.4,,0.8306998090309863,0.7538780190176303,342.7726950645447,,0.0,0.0
foolsgold__atk=alie__mal=0.4__alpha=0.5,foolsgold,alie,0.4,0.5,0.8306998090309863,0.7538780190176303,340.27586793899536,,0.0,0.0
armor__atk=label_flip__mal=0.2__alpha=None,armor,label_flip,0.2,,0.8707416990081932,0.8708439384727155,328.86793398857117,0.0,0.0,0.125
armor__atk=label_flip__mal=0.2__alpha=0.5,armor,label_flip,0.2,0.5,0.8306998090309863,0.7538780190176303,344.90998339653015,0.0,0.0,0.25
armor__atk=label_flip__mal=0.4__alpha=None,armor,label_flip,0.4,,0.6476159674736648,0.6971325296491279,328.86830735206604,0.0,0.0,0.16666666666666666
armor__atk=label_flip__mal=0.4__alpha=0.5,armor,label_flip,0.4,0.5,0.5675629889730796,0.6678210555497016,343.5969924926758,0.3333333333333333,0.25,0.3333333333333333
armor__atk=gaussian_noise__mal=0.2__alpha=None,armor,gaussian_noise,0.2,,0.8306998090309863,0.7538780190176303,261.68113803863525,1.0,0.5,0.0
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,armor,gaussian_noise,0.2,0.5,0.8306998090309863,0.7538780190176303,277.1551282405853,,0.0,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=None,armor,gaussian_noise,0.4,,0.8306998090309863,0.7538780190176303,205.0873577594757,,0.0,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,armor,gaussian_noise,0.4,0.5,0.8306998090309863,0.7538780190176303,214.337988615036,,0.0,0.0
armor__atk=alie__mal=0.2__alpha=None,armor,alie,0.2,,0.7699285406271176,0.7537242062083652,346.7682783603668,,0.0,0.0
armor__atk=alie__mal=0.2__alpha=0.5,armor,alie,0.2,0.5,0.8406794800714593,0.8405736539385242,345.01316142082214,0.0,0.0,0.25
armor__atk=alie__mal=0.4__alpha=None,armor,alie,0.4,,0.8396476313682005,0.7937304484013706,344.723965883255,0.0,0.0,0.5
armor__atk=alie__mal=0.4__alpha=0.5,armor,alie,0.4,0.5,0.8306998090309863,0.7538780190176303,332.3128910064697,0.0,0.0,0.3333333333333333
