run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
armor__atk=alie__mal=0.2__alpha=0.5,0.8406794800714593,0.8405736539385242,0.8317817100967166,0.7646808681988914,0.0033908692783062894,25,0.0,0.0,0.25,armor,alie,0.2,0.5,0.008897769974742675
armor__atk=alie__mal=0.2__alpha=None,0.7699285406271176,0.7537242062083652,0.5504489311895522,0.5563995605380938,0.3047838684577602,25,,0.0,0.0,armor,alie,0.2,None,0.2194796094375654
armor__atk=alie__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.6477025965625578,0.6166102938658983,0.2795692486861651,25,0.0,0.0,0.3333333333333333,armor,alie,0.4,0.5,0.18299721246842848
armor__atk=alie__mal=0.4__alpha=None,0.8396476313682005,0.7937304484013706,0.8195188812911969,0.763669216460648,0.03654829779023967,25,0.0,0.0,0.5,armor,alie,0.4,None,0.020128750077003654
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.2,0.5,0.0
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,1.0,0.5,0.0,armor,gaussian_noise,0.2,None,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,None,0.0
armor__atk=label_flip__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.682833579744964,0.6600665496762645,0.27177159038723814,25,0.0,0.0,0.25,armor,label_flip,0.2,0.5,0.14786622928602233
armor__atk=label_flip__mal=0.2__alpha=None,0.8707416990081932,0.8708439384727155,0.7917398201195096,0.810111831060158,0.16086062961967934,25,0.0,0.0,0.125,armor,label_flip,0.2,None,0.0790018788886836
armor__atk=label_flip__mal=0.4__alpha=0.5,0.5675629889730796,0.6678210555497016,0.6156575340356065,0.623459353472543,0.2700733634021179,25,0.3333333333333333,0.25,0.3333333333333333,armor,label_flip,0.4,0.5,0.04809454506252697
armor__atk=label_flip__mal=0.4__alpha=None,0.6476159674736648,0.6971325296491279,0.5043526304441569,0.5192338583300101,0.3327452082551284,25,0.0,0.0,0.16666666666666666,armor,label_flip,0.4,None,0.1432633370295079
